"","Time","Well","OD600","Colony","Dose"
"269",285,"V4",0.147,"E","Wtsham"
"270",300,"V4",0.1635,"E","Wtsham"
"271",315,"V4",0.18375,"E","Wtsham"
"272",330,"V4",0.208666666666667,"E","Wtsham"
"273",345,"V4",0.219416666666667,"E","Wtsham"
"274",360,"V4",0.240083333333333,"E","Wtsham"
"275",375,"V4",0.257666666666667,"E","Wtsham"
"276",390,"V4",0.272083333333333,"E","Wtsham"
"277",405,"V4",0.298416666666667,"E","Wtsham"
"278",420,"V4",0.316416666666667,"E","Wtsham"
"279",435,"V4",0.328583333333333,"E","Wtsham"
"280",450,"V4",0.351166666666667,"E","Wtsham"
"281",465,"V4",0.372333333333333,"E","Wtsham"
"282",480,"V4",0.389083333333333,"E","Wtsham"
"283",495,"V4",0.404416666666667,"E","Wtsham"
"284",510,"V4",0.429583333333333,"E","Wtsham"
"285",525,"V4",0.449333333333333,"E","Wtsham"
"286",540,"V4",0.463916666666667,"E","Wtsham"
"287",555,"V4",0.490333333333333,"E","Wtsham"
"288",570,"V4",0.505666666666667,"E","Wtsham"
"289",585,"V4",0.526916666666667,"E","Wtsham"
"290",600,"V4",0.547166666666667,"E","Wtsham"
"291",615,"V4",0.565583333333333,"E","Wtsham"
"292",630,"V4",0.587166666666667,"E","Wtsham"
"293",645,"V4",0.610083333333333,"E","Wtsham"
"294",660,"V4",0.626333333333333,"E","Wtsham"
"295",675,"V4",0.645,"E","Wtsham"
"296",690,"V4",0.65625,"E","Wtsham"
"297",705,"V4",0.675416666666667,"E","Wtsham"
"298",720,"V4",0.688833333333333,"E","Wtsham"
"299",735,"V4",0.702333333333333,"E","Wtsham"
"300",750,"V4",0.715,"E","Wtsham"
"301",765,"V4",0.724583333333333,"E","Wtsham"
"302",780,"V4",0.733083333333333,"E","Wtsham"
"303",795,"V4",0.737083333333333,"E","Wtsham"
"304",810,"V4",0.743583333333333,"E","Wtsham"
"305",825,"V4",0.74625,"E","Wtsham"
"306",840,"V4",0.755083333333333,"E","Wtsham"
"307",855,"V4",0.75575,"E","Wtsham"
"308",870,"V4",0.747583333333333,"E","Wtsham"
"309",885,"V4",0.7455,"E","Wtsham"
"310",900,"V4",0.755833333333333,"E","Wtsham"
